sample_name,file_name,genome,species_name,species_id,assay,cell_line,target,data_source,file_acc,provided_format_type,description,size,id
encode_1,ENCFF003QKM.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,skeletal muscle myoblast,H3K36me3,ENCODE,ENCFF003QKM,narrowPeak,H3K36me3 Histone ChIP-seq on human skeletal muscle myoblast,5691017,bd2578e70c0efe3674d0d39c782fe9e1
encode_2,ENCFF850BBV.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,skeletal muscle myoblast,H3K36me3,ENCODE,ENCFF850BBV,narrowPeak,H3K36me3 Histone ChIP-seq on human skeletal muscle myoblast,1089299,2e4db1cdb3c6735bc41b04064feed483
encode_3,ENCFF488KZB.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,skeletal muscle myoblast,H3K36me3,ENCODE,ENCFF488KZB,narrowPeak,H3K36me3 Histone ChIP-seq on human skeletal muscle myoblast,2232355,e9794b390cf34f11dfc7ac9effb79690
encode_4,ENCFF452DAM.bed.gz,hg38,Homo sapiens,9606,Histone ChIP-seq,skeletal muscle myoblast,H3K36me3,ENCODE,ENCFF452DAM,narrowPeak,H3K36me3 Histone ChIP-seq on human skeletal muscle myoblast,1991416,068998436ac80518e6a633dfcfb098df
encode_5,ENCFF805AOR.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,RBBP5,ENCODE,ENCFF805AOR,narrowPeak,RBBP5 TF ChIP-seq on human K562,6843301,d4065b3233b7b4f71f70f093686f79a4
encode_6,ENCFF899YUP.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,RBBP5,ENCODE,ENCFF899YUP,narrowPeak,RBBP5 TF ChIP-seq on human K562,4215327,9d96b41b7378a833a9c05e4a395c85bf
encode_7,ENCFF666PCE.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,RBBP5,ENCODE,ENCFF666PCE,narrowPeak,RBBP5 TF ChIP-seq on human K562,444907,765dd0cc710878b2a33df64f7a3e2c6f
encode_8,ENCFF941HWG.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,RBBP5,ENCODE,ENCFF941HWG,narrowPeak,RBBP5 TF ChIP-seq on human K562,6980764,e350eafc17e980ff01ccad10e2099ea3
encode_9,ENCFF930OMM.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,RBBP5,ENCODE,ENCFF930OMM,narrowPeak,RBBP5 TF ChIP-seq on human K562,308367,91e4e25d0c826318806ab627df4d3126
encode_10,ENCFF363GSV.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,HDAC2,ENCODE,ENCFF363GSV,narrowPeak,HDAC2 TF ChIP-seq on human K562,100086,112228491e00d5944e44ba66e2b75a17
encode_11,ENCFF325JSZ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,HDAC2,ENCODE,ENCFF325JSZ,narrowPeak,HDAC2 TF ChIP-seq on human K562,4350637,9b0ddb3ddca19d38638cfd34fc2e9ca9
encode_12,ENCFF951IMJ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,HDAC2,ENCODE,ENCFF951IMJ,narrowPeak,HDAC2 TF ChIP-seq on human K562,4119489,4c45629d2e24c2e548333ca79241d2be
encode_13,ENCFF660FBQ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,HDAC2,ENCODE,ENCFF660FBQ,narrowPeak,HDAC2 TF ChIP-seq on human K562,69329,abe166a38e8ab725f678a5b054125b80
encode_14,ENCFF632FBG.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,K562,HDAC2,ENCODE,ENCFF632FBG,narrowPeak,HDAC2 TF ChIP-seq on human K562,5844670,f012519639b0c65ac851ebe44ab8230b
encode_16,ENCFF271CVJ.bed.gz,hg38,Homo sapiens,9606,DNase-seq,RPMI7951,,ENCODE,ENCFF271CVJ,broadPeak,DNase-seq on human RPMI7951,4415206,306aa5627cedb05ccbbd67eb0b65c665
encode_17,ENCFF074VYU.bed.gz,hg38,Homo sapiens,9606,DNase-seq,RPMI7951,,ENCODE,ENCFF074VYU,narrowPeak,DNase-seq on human RPMI7951,3079469,b3691393242c6d2de2ea4a2757aa2431
encode_19,ENCFF736FKW.bed.gz,hg38,Homo sapiens,9606,DNase-seq,RPMI7951,,ENCODE,ENCFF736FKW,broadPeak,DNase-seq on human RPMI7951,1972484,961ea408d64a9d83721803e9a3982b0b
encode_20,ENCFF121AXG.bed.gz,hg38,Homo sapiens,9606,DNase-seq,RPMI7951,,ENCODE,ENCFF121AXG,narrowPeak,DNase-seq on human RPMI7951,1274680,0316154c3ad1e49506aefbecfad80922
encode_21,ENCFF710ECJ.bed.gz,hg38,Homo sapiens,9606,DNase-seq,RPMI7951,,ENCODE,ENCFF710ECJ,broadPeak,DNase-seq on human RPMI7951,1928091,8fb221f9ed963f8861d734a135672874
encode_22,ENCFF945FZN.bed.gz,hg38,Homo sapiens,9606,DNase-seq,RPMI7951,,ENCODE,ENCFF945FZN,narrowPeak,DNase-seq on human RPMI7951,1276327,97637ef1adac01795061af7971341358
encode_23,ENCFF322PQO.bed.gz,hg38,Homo sapiens,9606,DNase-seq,RPMI7951,,ENCODE,ENCFF322PQO,broadPeak,DNase-seq on human RPMI7951,4254348,17c2189c324de838c8c5ac70c0d9bf36
encode_24,ENCFF806NYM.bed.gz,hg38,Homo sapiens,9606,DNase-seq,RPMI7951,,ENCODE,ENCFF806NYM,narrowPeak,DNase-seq on human RPMI7951,3082769,1114b74ba44305960b9a5e5479a2ec0d
encode_25,ENCFF505YXO.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,spinal cord,,ENCODE,ENCFF505YXO,tss_peak,RAMPAGE on human spinal cord,515384,9593f6b69bb20bfb82f9992281c9f3ca
encode_26,ENCFF048PBY.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,spinal cord,,ENCODE,ENCFF048PBY,tss_peak,RAMPAGE on human spinal cord,590403,55d736dcaddddbc4dd9130a16c8f931f
encode_27,ENCFF371ZFC.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,spinal cord,,ENCODE,ENCFF371ZFC,idr_peak,RAMPAGE on human spinal cord,152356,bd5520296b5e6ae24d69ac5d976d43b6
encode_28,ENCFF633MZZ.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,temporal lobe,,ENCODE,ENCFF633MZZ,tss_peak,RAMPAGE on human temporal lobe,978325,a091d66f168fd5e7e40cc7b5c501ee21
encode_29,ENCFF882DHR.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,temporal lobe,,ENCODE,ENCFF882DHR,tss_peak,RAMPAGE on human temporal lobe,322635,0ec52382b31f94e479024b5f5c29ba87
encode_30,ENCFF732VJS.bed.gz,hg38,Homo sapiens,9606,RAMPAGE,temporal lobe,,ENCODE,ENCFF732VJS,idr_peak,RAMPAGE on human temporal lobe,122693,367132fde3077c610c127e4db61a7053
encode_31,ENCFF947EVC.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,HepG2,YY1,ENCODE,ENCFF947EVC,narrowPeak,YY1 TF ChIP-seq on human HepG2,4856937,037bd8e2c9d0c82cea0389d5b163ce34
encode_32,ENCFF955YEZ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,HepG2,YY1,ENCODE,ENCFF955YEZ,narrowPeak,YY1 TF ChIP-seq on human HepG2,4836034,eef265577eccf740ee072650642262cb
encode_33,ENCFF276RSI.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,HepG2,YY1,ENCODE,ENCFF276RSI,narrowPeak,YY1 TF ChIP-seq on human HepG2,5650380,ca607e075d07bbdaac6993b890245581
encode_34,ENCFF042DUJ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,HepG2,YY1,ENCODE,ENCFF042DUJ,narrowPeak,YY1 TF ChIP-seq on human HepG2,169180,cacaf1d9697966e4870a8ce66e0452a3
encode_35,ENCFF177YDT.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,HepG2,YY1,ENCODE,ENCFF177YDT,narrowPeak,YY1 TF ChIP-seq on human HepG2,392410,639300363a6a7a26060295768d9b8c85
encode_36,ENCFF985CZY.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,GM12878,KAT2A,ENCODE,ENCFF985CZY,narrowPeak,KAT2A TF ChIP-seq on human GM12878,3318863,cf38351f644f8400c2eac411d4f09ddd
encode_37,ENCFF426FMQ.bed.gz,hg38,Homo sapiens,9606,TF ChIP-seq,GM12878,KAT2A,ENCODE,ENCFF426FMQ,narrowPeak,KAT2A TF ChIP-seq on human GM12878,3150915,44b52c9e9d0c1cedec9dd8085b4ebe15
