59daa0c66214c301eef55a7b4d26cd69.bed.gz	T2T.excluderanges
2723d1b4a309d263f71d6cd1604c5a92.bed.gz	hg19.Boyle.hg19-Excludable.v2
11392eac9b7b64eb33995248a71baca4.bed.gz	mm10.Lareau.mm10_peaks
3eefea27c4a699f885e6edf67ee661c6.bed.gz	T2T.UCSC.gap
04db9366dbfe6cb21482b5c2335a5587.bed.gz	mm9.Lareau.mm9.full.Excludable
5b0eae3235a05e3580ac3876df5c2bac.bed.gz	T2T.CHM13.chm13.draft_v2.0.cen_mask
d0d8bd464aca2ed89769658d4981cc3d.bed.gz	dm6.Boyle.dm6-Excludable.v2
a9a283a6060d573b099f38ea4add3cdb.bed.gz	hg38.UCSC.short_arm
4c0f7f4d65e5468ee2167cf905fed816.bed.gz	T2T.UCSC.hgUnique.hg38
608827efc82fcaa4b0bfc65f590ffef8.bed.gz	T2T.UCSC.censat
3d6b5e467217b241f01e77a08cdb7bc2.bed.gz	hg19.UCSC.short_arm
ae9297868d58f6ab7c55682ca15aa4ef.bed.gz	hg38.UCSC.centromere
854d6512f3292ce8841affd98b692e40.bed.gz	hg19.UCSC.heterochromatin
679b93342aeb8b98c0f0340b2ea5fc66.bed.gz	hg38.Yeo.eCLIP_Excludableregions.hg38liftover.bed.fixed
254e1e24d6e49a338808882ea3d90420.bed.gz	hg19.UCSC.clone
6dc42be3f70d539ab9ddad13348b18f1.bed.gz	hg19.Bernstein.Mint_Excludable_hg19
0c37797e240c2fe9bd92f96f7fccd1d2.bed.gz	mm39.excluderanges
e9f74ff28805fc017e4e73177d4f3829.bed.gz	hg38.Bernstein.Mint_Excludable_GRCh38
53983b27ce934a57cd950be9872a8506.bed.gz	hg19.UCSC.contig
56ce7952a21cb4333d71e3a741bca1de.bed.gz	hg38.UCSC.heterochromatin
47766130a7a0f840b18eae52406b8890.bed.gz	mm9.UCSC.centromere
7816f807ffe1022f438e1f5b094acf1a.bed.gz	mm10.Boyle.mm10-Excludable.v2
664c4707a640bef29d46e1b396325e29.bed.gz	danRer10.Yang.Supplemental_Table_19.ChIP-seq_black_list_in_the_zebrafish_genome
